Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2016,Brazil,BRA,1795693265810.23,-3.2759169063211,8710.06328995352,53.3,60.87254007,26.5285832786057,32.616413167737,8358140,75.23,1.34797541299482
2019,Brazil,BRA,1877824273720.78,1.41115298506995,8897.55296585529,53.4,73.91244005,19.8880431301505,23.7169091151385,8358140,75.881,1.40798851592398
2020,Brazil,BRA,1444733258971.65,-4.05904827267271,6796.84454227877,..,..,..,..,8358140,..,1.43916822562215
2017,Brazil,BRA,2063514688761.98,1.32286905390815,9928.67589653405,53.3,67.47128452,24.0307437589099,31.283749659807,8358140,75.456,1.41448561149999
2018,British Virgin Islands,VGB,..,..,..,..,..,..,..,150,..,..
2016,British Virgin Islands,VGB,..,..,..,..,77.70142968,..,..,150,..,..
2019,British Virgin Islands,VGB,..,..,..,..,..,..,..,150,..,..
2017,British Virgin Islands,VGB,..,..,..,..,77.70426829,..,..,150,..,..
2020,British Virgin Islands,VGB,..,..,..,..,..,..,..,150,..,..
2019,Brunei Darussalam,BRN,13469422958.5105,3.86910986506845,31085.9619255901,..,95,..,..,5270,75.86,3.07864214346968
2016,Brunei Darussalam,BRN,11400854267.7188,-2.47791771833224,27158.4056535724,..,90,..,..,5270,75.45,3.53938469923775
2020,Brunei Darussalam,BRN,12005825769.5087,1.13357335070793,27442.95382794,..,..,..,..,5270,..,4.08087830418348
2017,Brunei Darussalam,BRN,12128104859.1498,1.32860255161715,28571.608291419,..,94.86669164,..,..,5270,75.585,2.86516990658642
2018,Brunei Darussalam,BRN,13567351175.0315,0.0522377907767719,31628.4762566009,..,95,..,..,5270,75.722,2.63661248547429
2020,Bulgaria,BGR,69889347433.4324,-4.38714983385256,10079.2033812203,..,70.16248359,..,..,108560,..,1.82470413961981
2018,Bulgaria,BGR,66363422450.2112,2.68457613091411,9446.70077185518,41.3,64.78201069,1.94929427116536,1.83764896176672,108560,74.9634146341464,1.45156836676972
2017,Bulgaria,BGR,59199447421.4924,2.76217095961262,8366.29322145748,40.4,63.41010138,2.42541103788209,2.38959544888065,108560,74.8146341463415,1.226243678323
2016,Bulgaria,BGR,53953897624.4344,3.03982527630795,7569.47881476759,40.6,59.82554766,2.63883055999666,2.64654972677578,108560,74.8121951219512,1.24670728942184
2019,Bulgaria,BGR,68915416141.9576,4.03759208211947,9879.26853313318,..,67.94698094,1.58881730634716,1.47735037419315,108560,74.9146341463415,3.14847554420995
2020,Burkina Faso,BFA,17933606353.1775,1.93032488957256,857.932729650223,..,..,..,..,273600,..,2.73395381282699
2018,Burkina Faso,BFA,15890065019.7634,6.60456906812341,804.500537821516,..,14,6.34250320832573,5.72042616897292,273600,61.174,2.16504174626094
2016,Burkina Faso,BFA,12833363370.174,5.95797670754024,688.250696258197,..,9,5.83713238580495,4.62956398440269,273600,60.354,1.37536237637344
2017,Burkina Faso,BFA,14106956830.0857,6.20348941121868,734.996267960528,..,12,4.58980747156738,4.47159471999323,273600,60.768,1.55627317925717
2019,Burkina Faso,BFA,16178162030.0694,5.68811514943657,796.115206827676,..,18,6.69070159372345,6.0834357492822,273600,61.577,2.60603750918948
2016,Burundi,BDI,2732808556.84172,-0.600020000546493,260.56522079627,..,2.4,..,..,25680,60.528,2.11562520759206
2018,Burundi,BDI,2668495742.88443,1.60993308234522,238.783467020173,..,5,..,..,25680,61.247,1.88216144691977
2017,Burundi,BDI,2748180473.71333,0.500009998779461,253.826354063895,..,2.660748535,..,..,25680,60.898,1.8706521577989
2019,Burundi,BDI,2631434363.22693,1.84247667669987,228.213589244227,..,5.2,..,..,25680,61.584,2.49715201414113
2020,Burundi,BDI,2841786382.19063,0.297577119233125,238.990725856496,..,..,..,..,25680,..,1.97921598967036
2018,Cabo Verde,CPV,1966503222.76759,4.53116168434889,3616.46453749713,..,59.5,..,..,4030,72.782,0.542008419435312
2019,Cabo Verde,CPV,1981845740.70615,5.66775246034304,3603.77524058462,..,61.94339776,..,..,4030,72.981,0.488213087210162
2020,Cabo Verde,CPV,1703698676.69742,-14.7834050101145,3064.27238842819,..,..,..,..,4030,..,0.590190722908897
2016,Cabo Verde,CPV,1662998677.88425,4.70579150927118,3130.99875340636,..,50.32281787,9.00787905775323,7.49719289585404,4030,72.347,0.611826929976972
2017,Cabo Verde,CPV,1768319144.00218,3.70203918776542,3289.90220261281,..,57.16214635,9.09204292587271,7.95563942018291,4030,72.57,0.530857190097975
2017,Cambodia,KHM,22177200511.5811,6.99690369938479,1385.26006616114,..,32.90027854,2.24537061535518,1.56905041627872,176520,69.289,2.07138350098391
2020,Cambodia,KHM,25808561550.9514,-3.1475890983283,1543.66925757282,..,78.80000044,..,..,176520,..,2.44546663012782
2018,Cambodia,KHM,24571753583.4922,7.469169206999,1512.12698889384,..,65.00000218,2.33858438342701,1.53946062931969,176520,69.57,2.22485237535631
2019,Cambodia,KHM,27089389786.979,7.05410693233065,1643.12138876539,..,78.27288351,2.11114081834767,1.34419257016928,176520,69.823,2.22856132475958
2016,Cambodia,KHM,20016747754.0192,6.93331397294972,1269.59149895246,..,32.39845171,2.76124550006628,1.80794113488546,176520,68.977,1.90988363024705
2018,Cameroon,CMR,39973839064.6084,3.9555142403664,1585.24053445546,..,29.7,6.80232248504561,4.97558086776796,472710,58.921,1.11159531025983
2016,Cameroon,CMR,33814337900.2831,4.53579423569734,1413.2559568153,..,20.6,6.07229724062736,4.88644416697601,472710,58.063,1.18753643736898
2017,Cameroon,CMR,36098550141.5897,3.54117654926007,1469.44749980724,..,23.20297197,7.88543460527508,5.53382310848202,472710,58.511,1.17379348253472
2020,Cameroon,CMR,40804449726.0184,0.491914742161129,1537.13021832773,..,..,..,..,472710,..,1.01044301237486
2019,Cameroon,CMR,39670977332.7348,3.47505997865608,1533.09568807789,..,33.5,..,..,472710,59.292,1.08675917326775
2016,Canada,CAN,1527994741907.43,1.00139441390405,42315.6037056806,32.7,91.16,6.3601737952827,6.21311967896723,8965590,81.9,1.16416156719089
2020,Canada,CAN,1645423407568.36,-5.23302430280606,43294.6481631917,..,..,..,..,8965590,..,1.415055840779
2017,Canada,CAN,1649265644244.09,3.03988022528195,45129.3564395662,33.3,92.70137191,5.87167744777046,5.72580311309819,8965590,81.9,1.35160223192956
2018,Canada,CAN,1725329192783.02,2.77704055379553,46548.5203600809,..,94.64,6.28925683087992,5.93720798050153,8965590,82.0487804878049,1.32468109445935
2019,Canada,CAN,1742015045482.31,1.87959202770178,46338.3409560127,..,96.5,6.16958840734864,5.93294926269007,8965590,82.0487804878049,1.27894141964114
2016,Caribbean small states,CSS,69598702057.8724,-1.14202902796097,9574.22148611917,..,53.4784264723706,18.6253070332993,17.9742496965289,404850,73.395957988226,..
2018,Caribbean small states,CSS,75312833438.1826,1.87218688426549,10234.2111791244,..,..,16.7179285852512,15.2756012340581,404850,73.6371062810432,..
2017,Caribbean small states,CSS,71693634217.0543,0.0893773436898329,9800.96588647345,..,59.6165701474847,16.9016761894735,16.0883642527582,404850,73.5174899503022,..
2019,Caribbean small states,CSS,76173669481.1443,0.616387706486776,10291.8073190241,..,..,24.1580592109669,20.2363171918331,404850,73.7547323090936,..
