,Year,Country Name,Country Code,"Compulsory education, duration (years)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
213,2019,Central Europe and the Baltics,CEB,0.5882352941176471,0.7245837093188481,0.302211418393511,0.23529569599479133,4.796880056164436
214,2020,Central Europe and the Baltics,CEB,0.5882352941176471,0.721144657140821,0.28865080660659587,0.23358691673967777,4.750876286113156
215,2016,Chad,TCD,0.5882352941176471,0.0,0.17021074664774616,0.27698514083085884,1.759612209905716
216,2017,Chad,TCD,0.5882352941176471,0.0,0.18166814771151543,0.34863372028993156,1.9974727504104726
217,2018,Chad,TCD,0.5882352941176471,0.0,0.1672120807526208,0.2628323692539176,1.7111565633846415
218,2019,Chad,TCD,0.5882352941176471,0.0,0.17557312059925514,0.302846816018309,1.8479219833710845
219,2020,Chad,TCD,0.5882352941176471,0.0,0.17736057858309148,0.24867959767697645,1.6889952443147593
220,2016,Channel Islands,CHI,0.0,0.0,0.0,0.0,0.0
221,2017,Channel Islands,CHI,0.0,0.0,0.0,0.0,0.0
222,2018,Channel Islands,CHI,0.0,0.0,0.0,0.0,0.0
223,2019,Channel Islands,CHI,0.0,0.0,0.0,0.0,0.0
224,2020,Channel Islands,CHI,0.0,0.0,0.0,0.0,0.0
225,2016,Chile,CHL,0.7058823529411765,0.7858599559883899,0.3953337100699264,0.450750265352466,5.992240393091987
226,2017,Chile,CHL,0.7058823529411765,0.735727613888503,0.4010801781996551,0.454075593612101,5.813179945730802
227,2018,Chile,CHL,0.7058823529411765,0.6855952717886163,0.40207996287119013,0.4555240088407749,5.618995392360347
228,2019,Chile,CHL,0.7058823529411765,0.6354629296887295,0.40545308927182205,0.45791088058492935,5.432372891994527
229,2020,Chile,CHL,0.7058823529411765,0.5853305875888427,0.4088262156724539,0.4602977523290838,5.2457503916287065
230,2016,China,CHN,0.5294117647058824,0.0,0.28074561944903736,0.2614219819860247,1.8751689495620312
231,2017,China,CHN,0.5294117647058824,0.0,0.27140843801042164,0.258987501632674,1.8491911456247476
232,2018,China,CHN,0.5294117647058824,0.0,0.26216081796868357,0.24397469668459604,1.7856574906970377
233,2019,China,CHN,0.5294117647058824,0.0,0.25286841722850667,0.23525105403388172,1.7409017612645408
234,2020,China,CHN,0.5294117647058824,0.0,0.24357601648832974,0.22652741138316743,1.6961460318320443
235,2016,Colombia,COL,0.7058823529411765,0.7545219084628614,0.33133446975383163,0.3180469058793036,5.340779643938196
236,2017,Colombia,COL,0.7058823529411765,0.7473238713412986,0.33564894360250386,0.3295854812070146,5.355232169132423
237,2018,Colombia,COL,0.7058823529411765,0.7516399930000082,0.32925419634667136,0.2735162146022978,5.191499361441446
238,2019,Colombia,COL,0.7058823529411765,0.7446996544894176,0.3334813319537064,0.3012017485831412,5.255248880555683
239,2020,Colombia,COL,0.7058823529411765,0.741425569831603,0.334196952686998,0.295586696151087,5.226738626094845
240,2016,Comoros,COM,0.35294117647058826,0.0,0.0,0.0,0.35294117647058826
